ecoregion1,ecoregion2,jaccard
Northern Indochina Subtropical Forests,Xingu-Tocantins-Araguaia Moist Forests,0
Northern Indochina Subtropical Forests,Huang He Plain Mixed Forests,0.0125
Northern Indochina Subtropical Forests,Central China Loess Plateau Mixed Forests,0.009345794392523364
Northern Indochina Subtropical Forests,Alaska Range,0
Northern Indochina Subtropical Forests,Yukon Plateau And Flats,0
Northern Indochina Subtropical Forests,Central European Mixed Forests,0.006896551724137931
Northern Indochina Subtropical Forests,Dinaric Mountains Mixed Forests,0
Northern Indochina Subtropical Forests,Pannonian Mixed Forests,0.004484304932735426
Northern Indochina Subtropical Forests,Pontic Steppe,0.011235955056179775
Northern Indochina Subtropical Forests,Murray-Darling Woodlands And Mallee,0
Northern Indochina Subtropical Forests,Ogasawara Subtropical Moist Forests,0.04838709677419355
Northern Indochina Subtropical Forests,Madagascar Lowland Forests,0.00641025641025641
Northern Indochina Subtropical Forests,Greater Negros-Panay Rain Forests,0
Northern Indochina Subtropical Forests,Sarmatic Mixed Forests,0.005649717514124294
Northern Indochina Subtropical Forests,Central Zambezian Miombo Woodlands,0
Northern Indochina Subtropical Forests,Southern Rift Montane Forest-Grassland Mosaic,0.004830917874396135
Northern Indochina Subtropical Forests,Atlantic Mixed Forests,0
Northern Indochina Subtropical Forests,Celtic Broadleaf Forests,0
Northern Indochina Subtropical Forests,Chao Phraya Freshwater Swamp Forests,0
Northern Indochina Subtropical Forests,Upper Gangetic Plains Moist Deciduous Forests,0.011363636363636364
Northern Indochina Subtropical Forests,Western Himalayan Broadleaf Forests,0
Northern Indochina Subtropical Forests,Deccan Thorn Scrub Forests,0
Northern Indochina Subtropical Forests,Central Asian Northern Desert,0
Northern Indochina Subtropical Forests,Central Anatolian Steppe And Woodlands,0.009433962264150943
Northern Indochina Subtropical Forests,Balkan Mixed Forests,0.008064516129032258
Northern Indochina Subtropical Forests,Eastern Cordillera Real Montane Forests,0
Northern Indochina Subtropical Forests,Peruvian Yungas,0
Northern Indochina Subtropical Forests,Western European Broadleaf Forests,0.004219409282700422
Northern Indochina Subtropical Forests,Himalayan Subtropical Pine Forests,0.018518518518518517
Northern Indochina Subtropical Forests,Jos Plateau Forest-Grassland Mosaic,0
Northern Indochina Subtropical Forests,Iberian Sclerophyllous And Semi-Deciduous Forests,0.0056179775280898875
Northern Indochina Subtropical Forests,Baltic Mixed Forests,0
Northern Indochina Subtropical Forests,Aegean And Western Turkey Sclerophyllous And Mixed Forests,0
Northern Indochina Subtropical Forests,Zambezian And Mopane Woodlands,0.0125
Northern Indochina Subtropical Forests,Madeira-Tapajós Moist Forests,0
Northern Indochina Subtropical Forests,Tapajós-Xingu Moist Forests,0
Northern Indochina Subtropical Forests,Cross-Sanaga-Bioko Coastal Forests,0
Northern Indochina Subtropical Forests,Southwest Iberian Mediterranean Sclerophyllous And Mixed Forests,0.0031645569620253164
Northern Indochina Subtropical Forests,Scandinavian Montane Birch Forest And Grasslands,0
Northern Indochina Subtropical Forests,Central Mixed-Grass Prairie,0
Northern Indochina Subtropical Forests,Uruguayan Savanna,0.011111111111111112
Northern Indochina Subtropical Forests,Pernambuco Interior Forests,0
Northern Indochina Subtropical Forests,Tyrrhenian-Adriatic Sclerophyllous And Mixed Forests,0
Northern Indochina Subtropical Forests,Yunnan Plateau Subtropical Evergreen Forests,0.047619047619047616
Northern Indochina Subtropical Forests,Northern Triangle Subtropical Forests,0.018867924528301886
Northern Indochina Subtropical Forests,Hainan Island Monsoon Rain Forests,0.03278688524590164
Northern Indochina Subtropical Forests,South Western Ghats Montane Rain Forests,0.012121212121212121
Northern Indochina Subtropical Forests,South Western Ghats Moist Deciduous Forests,0
Northern Indochina Subtropical Forests,Trans-Mexican Volcanic Belt Pine-Oak Forests,0
Northern Indochina Subtropical Forests,Northwestern Congolian Lowland Forests,0
Northern Indochina Subtropical Forests,Changjiang Plain Evergreen Forests,0.015873015873015872
Northern Indochina Subtropical Forests,Guizhou Plateau Broadleaf And Mixed Forests,0.017543859649122806
Northern Indochina Subtropical Forests,Pantanal,0.010752688172043012
Northern Indochina Subtropical Forests,Chihuahuan Desert,0
Northern Indochina Subtropical Forests,Interior Alaska Taiga,0
Northern Indochina Subtropical Forests,Chilean Matorral,0
Northern Indochina Subtropical Forests,Cordillera Central Páramo,0
Northern Indochina Subtropical Forests,Ucayali Moist Forests,0
Northern Indochina Subtropical Forests,Central Andean Wet Puna,0
Northern Indochina Subtropical Forests,Marañón Dry Forests,0
Northern Indochina Subtropical Forests,Sechura Desert,0
Northern Indochina Subtropical Forests,Cerrado,0.0049261083743842365
Northern Indochina Subtropical Forests,Serra Do Mar Coastal Forests,0
Northern Indochina Subtropical Forests,Cordillera Oriental Montane Forests,0
Northern Indochina Subtropical Forests,Eastern Guinean Forests,0
Northern Indochina Subtropical Forests,Ural Montane Forests And Tundra,0
Northern Indochina Subtropical Forests,Alps Conifer And Mixed Forests,0
Northern Indochina Subtropical Forests,Gulf Of Alaska Mountains And Fjordlands,0
Northern Indochina Subtropical Forests,Sayan Montane Conifer Forests,0
Northern Indochina Subtropical Forests,Selenge-Orkhon Forest Steppe,0.03278688524590164
Northern Indochina Subtropical Forests,Cauca Valley Montane Forests,0
Northern Indochina Subtropical Forests,Great Central Valley,0
Northern Indochina Subtropical Forests,Arizona-New Mexico Mountains,0
Northern Indochina Subtropical Forests,Southern Rocky Mountains,0
Northern Indochina Subtropical Forests,Boreal Shield,0
